Seccion;Nombre Seccion;Nombre_Archivo;ID_Archivo_Drive;Tipo Archivo
1;Introducción y aprovisionamiento de Apigee X;1. Introducción.mp4;1Ih5VB3GALGDufqR_FkRcWQKA1M5uP87U;video/mp4
1;Introducción y aprovisionamiento de Apigee X;1. Introducción.srt;1lVcLPwZuBTJEuQfxe7QIz26RcgfVWKWs;SRT (Script)
1;Introducción y aprovisionamiento de Apigee X;2. Creación cuenta Gmail(Saltar caso tener ).mp4;18tQEZbNtY2oAWhfd32jXU7vp5yGMEPct;video/mp4
1;Introducción y aprovisionamiento de Apigee X;2. Creación cuenta Gmail(Saltar caso tener ).srt;1Yhb_hYki2QPWxxEoqO9qkVS-tY3LZ7BU;SRT (Script)
1;Introducción y aprovisionamiento de Apigee X;3. Creación de cuenta en Google Cloud Platform.mp4;1BCRLMiAQoTM4sNgd_IH6HIQZyXpRjEOX;video/mp4
1;Introducción y aprovisionamiento de Apigee X;3. Creación de cuenta en Google Cloud Platform.srt;1IwLI1AU4efjfjM5m_7AlF3bvDOo7s5BB;SRT (Script)
1;Introducción y aprovisionamiento de Apigee X;4. Descripción general de la arquitectura de Apigee X.mp4;1mbamFKI4MhNeNwYnQFF_EAT5se4wkl5h;video/mp4
1;Introducción y aprovisionamiento de Apigee X;4. Descripción general de la arquitectura de Apigee X.srt;1d4njuLROPpWUix5RXYsYoPcHS-Gior4O;SRT (Script)
1;Introducción y aprovisionamiento de Apigee X;5. Aprovisionando tu Organización Apigee X Google Cloud.mp4;1SA1GT4QyGUOnO7gb3ky7IzUCkLMBRZ8h;video/mp4
1;Introducción y aprovisionamiento de Apigee X;5. Aprovisionando tu Organización Apigee X Google Cloud.srt;1FIKa5nxtwDZqRYBBDvqcsgilFSDPDuDx;SRT (Script)
1;Introducción y aprovisionamiento de Apigee X;6. Eliminar Apigee X de prueba.mp4;1NbL7qEcE_fryfM-zs8uWzyXrKrkqBnud;video/mp4
1;Introducción y aprovisionamiento de Apigee X;6. Eliminar Apigee X de prueba.srt;152WkcxWOeVLWsEGlARprcQIUt1fzjL86;SRT (Script)
2;Creación y Gestión de Proxies de API;1. Exploremos la UI de Apigee X.mp4;1G9SdMJR6tbTcgwwom6xRldSDNIMb4IgG;video/mp4
2;Creación y Gestión de Proxies de API;1. Exploremos la UI de Apigee X.srt;1RQZza_QBGffEZvmwUVQEFMvgjhNHdo9V;SRT (Script)
2;Creación y Gestión de Proxies de API;10. Solventando limite de ambientes en org trial.mp4;1eVTWpIUCdRIs-uyECwd3zB3LuiPPzFwu;video/mp4
2;Creación y Gestión de Proxies de API;10. Solventando limite de ambientes en org trial.srt;15JQ7PUGKAnEo0XbTyDUabCFnWgu0aiV4;SRT (Script)
2;Creación y Gestión de Proxies de API;11. Apigee flows.mp4;1EAIYtmUrey3CLhVdw5wVENgm-Yay2H9A;video/mp4
2;Creación y Gestión de Proxies de API;11. Apigee flows.srt;1Hhf-my2h5kyhMum4_Es9bBK3MRdnbiPK;SRT (Script)
2;Creación y Gestión de Proxies de API;12. Políticas y sus tipos.mp4;1CCI5tauB11pTc2hG3rIBQfUMRZPRW3Zk;video/mp4
2;Creación y Gestión de Proxies de API;12. Políticas y sus tipos.srt;1rTzYbFyNLmPaWEvrBmUpKYZJaVIJ0CgF;SRT (Script)
2;Creación y Gestión de Proxies de API;13. Agregando políticas nuestro API proxy(Extract.mp4;1z-f14iHBva6vASMefuOxfeNSK1SElolJ;video/mp4
2;Creación y Gestión de Proxies de API;13. Agregando políticas nuestro API proxy(Extract.srt;1iE2QxRWmqEW0fQvoohLSfryqvZp9doDp;SRT (Script)
2;Creación y Gestión de Proxies de API;14. Xml to Json.mp4;1ZlTKX-LBOsnmcVKwsHT1uXKe65Cad1GL;video/mp4
2;Creación y Gestión de Proxies de API;14. Xml to Json.srt;1Grh30cM2Upb6RxDDeBACJvAt_o5Vl_KK;SRT (Script)
2;Creación y Gestión de Proxies de API;15. Service callout y Json to Xml.mp4;1lAUWZ2INnl24c66w5ai_rKWZKB_mOMS7;video/mp4
