Seccion;Nombre Seccion;Nombre_Archivo;ID_Archivo_Drive;Tipo Archivo
1;01. Descarga e Instalación de recursos;00 - Intro Java.mp4;1K6KbgCSBFYj_q1BC1tq3FNo7e2pHErUj;video/mp4
1;01. Descarga e Instalación de recursos;00 - Intro Java.srt;1q4QPnRsXh_XfhnslByvPNH0bxmoGdiwZ;application/octet-stream
1;01. Descarga e Instalación de recursos;01 - Descarga e Instalación del JDK.mp4;1HlwaQx4wWwDSY9cehN7K9U9TOSs_0bwn;video/mp4
1;01. Descarga e Instalación de recursos;01 - Descarga e Instalación del JDK.srt;1DZe0dcXuXTPMnmQLd0JPK00r432Sstv3;application/octet-stream
1;01. Descarga e Instalación de recursos;01 Apache-NetBeans-15-bin-windows-x64.exe;1dRwXBpQZVZZ3_5Qypteq278Nu-IQUyDE;application/x-dosexec
1;01. Descarga e Instalación de recursos;01 OpenJDK11U-jdk_x64_windows_hotspot_11.0.16.1_1.msi;1imsDJwnk78hpY6eFgw3f5F9ku1ODbEtb;application/x-msi
1;01. Descarga e Instalación de recursos;02 - Descarga e Instalación del IDE Apache NetBeans.mp4;10BIx1tI3unQDBqKm5hGkQO71aaFAO3bv;video/mp4
1;01. Descarga e Instalación de recursos;02 - Descarga e Instalación del IDE Apache NetBeans.srt;1Ac25xkbIjkKN_uqyEohig4jmBmf9qhct;application/octet-stream
1;01. Descarga e Instalación de recursos;03 - Temas disponibles en IDE Apache NetBeans.mp4;1I_Iz8MGO1M82NOrjGAuUtpwFW9-wq1ni;video/mp4
1;01. Descarga e Instalación de recursos;03 - Temas disponibles en IDE Apache NetBeans.srt;1DVsw3otPhvKp1CbQxNSz5KYXqd602NFO;application/octet-stream
2;02. Definición de Proyecto;04 - Clásico Hola Mundo.mp4;1Wdqh-BaeH6eLRBHBJD9WYkjZ8VWFg-sK;video/mp4
2;02. Definición de Proyecto;04 - Clásico Hola Mundo.srt;1BO-ryEXV_nidjk1UCsJyzAGjPw6U08ho;application/octet-stream
2;02. Definición de Proyecto;05 - Definir Comentarios.mp4;1eao2aBX-B10lOoELzR_ubnNjj0ZdUBze;video/mp4
2;02. Definición de Proyecto;05 - Definir Comentarios.srt;1enBRoY_uVszNbabIDnOIKfFLBsQwd_Ck;application/octet-stream
2;02. Definición de Proyecto;06 - Imprimir en Pantalla.mp4;1FY52f7FsUSsv35y37CvZxxvEDm_j6AKQ;video/mp4
2;02. Definición de Proyecto;06 - Imprimir en Pantalla.srt;1lgJ-yL8s5ZNnT7jRdwPJeroMzsy8Hjuo;application/octet-stream
2;02. Definición de Proyecto;07 - Eliminar Proyecto.mp4;15NjE1ZjwIY5bo_bFfIuadgZMCiJLewgw;video/mp4
2;02. Definición de Proyecto;07 - Eliminar Proyecto.srt;1yYOC1XBc_KgJb4s17UXIfroauOcOqJaQ;application/octet-stream
2;02. Definición de Proyecto;08 - Crear Java Class.mp4;1V_AHQSdUM5hz9xRkX4hbWLQFemXM_oWU;video/mp4
2;02. Definición de Proyecto;08 - Crear Java Class.srt;15OGJum98mOZ-o62b3xB1WhQ1edYLfCiH;application/octet-stream
3;03. Variables;09 - Variables y Tipos de datos.mp4;18wjp4G3xPsC8wnCPk7e8FepBYTLOS9CC;video/mp4
3;03. Variables;09 - Variables y Tipos de datos.srt;1EOPCkS9TbginjEWubmMI9PpDq2dASj2o;application/octet-stream
3;03. Variables;10 - Variables y Tipos de datos - parte 2.mp4;1MhjYLvhN2YIfo5URFFgkKFioclEuqNeR;video/mp4
3;03. Variables;10 - Variables y Tipos de datos - parte 2.srt;1wWZEMJiy1Y9j0JzUgH10kpgDZ9nXocLm;application/octet-stream
4;04. Operadores;11 - Operadores Aritméticos.mp4;1Cq3VeWg0QC8xcoew67dONRV2mIEH0MPl;video/mp4
4;04. Operadores;11 - Operadores Aritméticos.srt;11XQZ1sohkWF_5-4hWPg8JDbK5qxDzegR;application/octet-stream
4;04. Operadores;12 - Operadores de Comparación.mp4;1niOCvkciDhv3CqErV2C9Qxmwz_k4bn5g;video/mp4
4;04. Operadores;12 - Operadores de Comparación.srt;1dvedoftk2cprNGZK1RJkd0OoIlhIvzqD;application/octet-stream
4;04. Operadores;13 - Operadores Lógicos.mp4;1m2fa6ugZQaiN0liKMB1W3BayeMqdrIEH;video/mp4
4;04. Operadores;13 - Operadores Lógicos.srt;1Vmg93b5zjvprpKxdDKa32qFFuDdbVc2F;application/octet-stream
4;04. Operadores;14 - Operadores de Incremento y Decremento.mp4;1UA5kpzG_nxtVM75bErt5V2TUimYP1KHF;video/mp4
4;04. Operadores;14 - Operadores de Incremento y Decremento.srt;1q8qZ-7ExVq-fpivjfvJ2GRC4aE8S-4po;application/octet-stream
4;04. Operadores;15 - Operador Condicional.mp4;1NmgN_0BCImyDJPAXyzeCTulMUau4c8ya;video/mp4
4;04. Operadores;15 - Operador Condicional.srt;14Pj2-IW_yRtH1uk4FWB1YIm0q9_dOYdg;application/octet-stream
4;04. Operadores;16 - Concatenación.mp4;1RCa-orA0Pz1IXlz2gN3eZrO8PdzK_6wS;video/mp4
4;04. Operadores;16 - Concatenación.srt;1SLQaxkEsLApHQdH0t9tQchNe7Ad2aX26;application/octet-stream
5;05. Entrada de datos;17 - Entrada de datos por teclado.mp4;1rwJm4yzKGzIKm4G91YGMp8JrbEg2N_X3;video/mp4
5;05. Entrada de datos;17 - Entrada de datos por teclado.srt;1uW5k_hVWzXJVDGnkO-sXWEz1NZie1xzB;application/octet-stream
5;05. Entrada de datos;18 - Entrada de datos por teclado - parte 2.mp4;1MUvtto9ZSTYbJnNAicAmU6nF4El3fv9e;video/mp4
5;05. Entrada de datos;18 - Entrada de datos por teclado - parte 2.srt;1feAVobX5MSX1BMsNl8f827YlFTsvO2Wt;application/octet-stream
6;06. Personalizar el Ide NetBeans;19 - Personalizar el IDE Apache NetBeans - Dracula Theme.mp4;19wxTBHw5jnG87qLk0hip0ZB9G5YIQjic;video/mp4
6;06. Personalizar el Ide NetBeans;19 - Personalizar el IDE Apache NetBeans - Dracula Theme.srt;1LFgbWsrA8bzuSqPGUBlSL6L_-1kp0vTb;application/octet-stream
6;06. Personalizar el Ide NetBeans;19 dracula-theme-for-netbeans-v0.1.1.zip;1CXbOOvVa4oMpWOlpkJYhqO0ghnQCXszv;application/zip
7;07. Conversión de tipos de datos;20 - Conversión de tipos de datos - parte 1.mp4;1XVJzMmFNvsrol4CuH_69LcIJinpxJzLk;video/mp4
7;07. Conversión de tipos de datos;20 - Conversión de tipos de datos - parte 1.srt;1c0jtf8jpB6yVeXbgxdGYaXt6FcuYYwT9;application/octet-stream
7;07. Conversión de tipos de datos;21 - Conversión de tipos de datos - parte 2.mp4;1DUKp7I4EbE97sZ_L03akAW0R0-a7iiNu;video/mp4
