Seccion;Nombre Seccion;Nombre_Archivo;ID_Archivo_Drive;Tipo Archivo
1;Antes de empezar (Las bases);1. presentación caso uso global curso.mp4;1iyx9e1xhWXWj_5rYn6Afudh5QOTG-wa9;video/mp4
1;Antes de empezar (Las bases);1. presentación caso uso global curso.srt;1TKweiGxRY7vW1_wCOwtyZ64gmYt3egI-;script (srt)
1;Antes de empezar (Las bases);10. Cuestionario 1 Cuestionario de conceptos básicos.html;1ryDTTl82ys_3cW-JvXk7SKEpmWyoSqMZ;text/html
1;Antes de empezar (Las bases);10. Invitación comunidad Discord.mp4;15woOflNz7S2VDHWgv01fCOofhHEmutIe;video/mp4
1;Antes de empezar (Las bases);11. Invitación comunidad Discord.srt;1e6oyacAiWne741HW5kZrgF72_NoD53OF;script (srt)
1;Antes de empezar (Las bases);11.1 Link para acceder al servidor discord.html;1TgTYYRPPEh1_7SgpdR_PZv4xb9M2-37u;text/html
1;Antes de empezar (Las bases);11.2 Sitio Web del instructor.html;1yoUubTJ4F7peG0cw8k8MJNTsqs30564N;text/html
1;Antes de empezar (Las bases);2. son microservicios evolución estilos arquitecturas.mp4;1PUOxrBHgCljTs4fiEofDYG0KlGKg5mQ4;video/mp4
1;Antes de empezar (Las bases);2. son microservicios evolución estilos arquitecturas.srt;1LcE-CWMGf8crfre4aSEiBCYk0RB6_7zQ;script (srt)
1;Antes de empezar (Las bases);2.1 Microservicios según Spring.html;1RecfyXO4N6yMdi_Qp6h-krb-1jZIJISB;text/html
1;Antes de empezar (Las bases);3. debes hacer este curso, evitar errores otros consejos.mp4;1wtOfLwjKQqQJtNeLuSblAbfpc2Ex1Z3z;video/mp4
1;Antes de empezar (Las bases);3. debes hacer este curso, evitar errores otros consejos.srt;1mIILRh2Kgto2CN8W_gbdkHJrecmZsF_l;script (srt)
1;Antes de empezar (Las bases);3.1 Sigueme en twitter.html;14wzOl4E-j_F8GH1qE020X3IR31nhZoz8;text/html
1;Antes de empezar (Las bases);3.2 Suscribete a mi canal de youtube.html;1UrmmXn9Xi3_isfmiC3Eg5VD6d7JLfStY;text/html
1;Antes de empezar (Las bases);4. Spring Boot diferencias Spring Framework.mp4;1CN65oHeDYMy8wF6OTpGPlEKmayUqeTGc;video/mp4
1;Antes de empezar (Las bases);4. Spring Boot diferencias Spring Framework.srt;1-c1MzfVGPqZjBNh2gUfW5SkyATDBtgH_;script (srt)
1;Antes de empezar (Las bases);4.1 Arquitectura de los microservicios.html;18v-E7kpwEZIO5rBaTW-Dxj5hiz6GxB5y;text/html
1;Antes de empezar (Las bases);4.2 Ventajas y desventajas de los microservicios.html;1kctKcdjLuwP8s9H1k8AeOTxuO5niBygV;text/html
1;Antes de empezar (Las bases);5. versión Spring Boot.mp4;1QvdB6_yJai7AY5rvHJazKpH_k7bgGMN4;video/mp4
1;Antes de empezar (Las bases);5. versión Spring Boot.srt;1swDuItOcMusF4l2KoSYs4VkWyN1UEJzq;script (srt)
1;Antes de empezar (Las bases);5.1 IDEs de desarrollo.html;1QvRFo2WKJ-MFLD3FJgl9BRAByXbEFNC6;text/html
1;Antes de empezar (Las bases);5.2 Revisar la ultima versión de spring boot.html;1a4km8KPSc8IXwpXlEJ2Q0u4IyavjMz5_;text/html
1;Antes de empezar (Las bases);6. Instalación IDE desarollo configuración plugins.mp4;1nrsuDMK5Sk0IS5FBGImtco-sF9jAK1MM;video/mp4
1;Antes de empezar (Las bases);6. Instalación IDE desarollo configuración plugins.srt;14q-NzwkQWbdRLx1Eib8fKCPkXQADWHHl;script (srt)
1;Antes de empezar (Las bases);6.1 Instalar netbeans en linux.html;1LMOjBbkN0U6kWexu4GgKCfO3ni-i5EjA;text/html
1;Antes de empezar (Las bases);6.2 Java SE releases.html;16yZ_lysbmBeU3cxLJw7qX-P6v9J7kIiY;text/html
1;Antes de empezar (Las bases);6.3 nb-springboot-plugin-3.1.nbm;1C5aizJmpsy09K5dSwHu0LvD9zKfTdwwn;application/x-zip
1;Antes de empezar (Las bases);6.4 Openjdk.html;16E-443nunH2WkSainFYRIz8aECnZrelX;text/html
1;Antes de empezar (Las bases);6.5 Plugins para Netbeans.html;1999oBi2HUafAGf4C7MCFVbLlQCZc_jDS;text/html
1;Antes de empezar (Las bases);6.6 Sitio Web de netbeans.html;1pha6XKovzXdXT-iiRObV0jVTDeoKaYgO;text/html
1;Antes de empezar (Las bases);7. Instalar Java configurar JAVA_HOME PATH Windows.mp4;1knrTP3urJiAAZb5JwDkT2ekX75fnVrTo;video/mp4
1;Antes de empezar (Las bases);7. Instalar Java configurar JAVA_HOME PATH Windows.srt;1grXO9AMZcVNutLYvQ_rcfL-FROjdtNdI;script (srt)
1;Antes de empezar (Las bases);7.1 Descargar Java.html;1zvClP8f45eioOBj2TBhJu7w2hw-GKr-4;text/html
1;Antes de empezar (Las bases);8. Instalar configurar eclipse STS.mp4;1FGEeD4q4GFo8SK6Zpvyp3bAXCoBojHVA;video/mp4
1;Antes de empezar (Las bases);8. Instalar configurar eclipse STS.srt;1wsuWH-_b9EA_hEtX1-DGyoVdL9oOigua;script (srt)
1;Antes de empezar (Las bases);9. configuracion uso Lombok.mp4;1lNk3901gBHwCj9assD-MQgBNwgGyKAky;video/mp4
1;Antes de empezar (Las bases);9. configuracion uso Lombok.srt;1zs03I4m8lW14i5VgrLI70TlT4IY24Jzm;script (srt)
2;Primeros pasos Arquitectura global de la solución y creación proyecto inicial;1. Diseño guiado por dominios arquitectura goblal.mp4;1cdN5HGu-7_c9PaRUgAoNKsBl6ICvpGEV;video/mp4
2;Primeros pasos Arquitectura global de la solución y creación proyecto inicial;1. Diseño guiado por dominios arquitectura goblal.srt;1JQJZnp74XVi865vlQHdNZ7Xr8y-5OroN;script (srt)
2;Primeros pasos Arquitectura global de la solución y creación proyecto inicial;2. Crear Microservicio spring boot maven desde cero,.mp4;1NcHuqA8GKMAfAGbpM0viLQ0pJZoehvrX;video/mp4
2;Primeros pasos Arquitectura global de la solución y creación proyecto inicial;2. Crear Microservicio spring boot maven desde cero,.srt;1dZyF4_BixddyU2xviiyBQ1LcjRb_ltYg;script (srt)
2;Primeros pasos Arquitectura global de la solución y creación proyecto inicial;2.1 Herramienta online spring boot crear microservicios.html;1DNm6IT3xecsr-V2xzinLF3gIbwJ-6CdZ;text/html
2;Primeros pasos Arquitectura global de la solución y creación proyecto inicial;2.2 Histórico de releases de spring boot.html;1_hLVLaDcs_fhOC2pPXEcvTkwG1f8hTsU;text/html
2;Primeros pasos Arquitectura global de la solución y creación proyecto inicial;3. Comprender estructura fichero pom.xml microservicio.mp4;1lf5cZnbyThL7_JHcm5NK4lT5NokSto8x;video/mp4
2;Primeros pasos Arquitectura global de la solución y creación proyecto inicial;3. Comprender estructura fichero pom.xml microservicio.srt;1v4vrFT4lRS-Ls-rzQ0-oIdAUKl_1uHxn;script (srt)
2;Primeros pasos Arquitectura global de la solución y creación proyecto inicial;4. Agregar Persistencia JPA estructura paquetes.mp4;1Ss0m6CxbQ3m5_-rYh9fc9VEeUpZoWJlf;video/mp4
2;Primeros pasos Arquitectura global de la solución y creación proyecto inicial;4. Agregar Persistencia JPA estructura paquetes.srt;11WF5hyBsqplW0zWBdedPY9UZq4EQevqj;script (srt)
2;Primeros pasos Arquitectura global de la solución y creación proyecto inicial;4.1 Configurar lombok en intelliJ.html;1rnqLMNVGwYYrYhHyDDD6YCQ8rYdRhTru;text/html
2;Primeros pasos Arquitectura global de la solución y creación proyecto inicial;4.2 Install lombok eclipse.html;1Zt6YTOthi8QF4XGm8qd4SqtsW5PLyfan;text/html
2;Primeros pasos Arquitectura global de la solución y creación proyecto inicial;5. Agregar API.mp4;1Epmd79QIfJfQf1mWSgtiD2jS7QqOtz1m;video/mp4
2;Primeros pasos Arquitectura global de la solución y creación proyecto inicial;5. Agregar API.srt;1k75aLx4FZvOn2nluDTGIuU1iNXLDBnP0;script (srt)
2;Primeros pasos Arquitectura global de la solución y creación proyecto inicial;6. Reconfigurar lombok (@Data) corregir errores getters.mp4;1gvYYofh0gVWwiz0MeM9gGyWJJAa0frFY;video/mp4
2;Primeros pasos Arquitectura global de la solución y creación proyecto inicial;6. Reconfigurar lombok (@Data) corregir errores getters.srt;1pKwJtEovZ2veEh1TTmuiH2pT9zUg_Zmo;script (srt)
2;Primeros pasos Arquitectura global de la solución y creación proyecto inicial;6.1 Configuración de maven.html;1HspQusYDDhHegd2vT3eR6JdonVr1eE62;text/html
2;Primeros pasos Arquitectura global de la solución y creación proyecto inicial;7. Añadir Swagger facilitar pruebas API Rest probar.mp4;132kHn2NJDzkuFhBfUhQpMHWHC9X3NRsW;video/mp4
2;Primeros pasos Arquitectura global de la solución y creación proyecto inicial;7. Añadir Swagger facilitar pruebas API Rest probar.srt;1Z1OD4ZJbd9mY1GgqGudnrnaUoqCu8xUB;script (srt)
2;Primeros pasos Arquitectura global de la solución y creación proyecto inicial;7.1 customer_full_crud_swagger.zip;1e14NfMb_Lv9upkvmOigxxoXFXq0S3nCV;application/zip
2;Primeros pasos Arquitectura global de la solución y creación proyecto inicial;7.2 Spring docs Swagger Openapi.html;1n_emFui6md8bBUNczfjn5i0reKPej3Bh;text/html
2;Primeros pasos Arquitectura global de la solución y creación proyecto inicial;8. Activar desactivar swagger recomendaciones descargar.mp4;12CeEnhLZTopTjNFBn7GfzZQcO6lTrxoZ;video/mp4
2;Primeros pasos Arquitectura global de la solución y creación proyecto inicial;8. Activar desactivar swagger recomendaciones descargar.srt;1bzVVjlFMq-TcBcaS5pMZdufi-Ls9it3_;script (srt)
3;Estrategia monorepo con maven para la gestión del repositorio de código;1. Planificar estructura repositorio código varios.mp4;1X2oqvbDs1LtFk1o7hZNorHSvtXKfHyHy;video/mp4
3;Estrategia monorepo con maven para la gestión del repositorio de código;1. Planificar estructura repositorio código varios.srt;1aAEPEuXNqT3m8gaCDtbLKt1uzyq3if3k;script (srt)
3;Estrategia monorepo con maven para la gestión del repositorio de código;1.1 Spring boot Maven Repository Structure .png;1rakVu7A1oKMSWU6LaHz8zbcTdyjCfcTB;image/png
3;Estrategia monorepo con maven para la gestión del repositorio de código;2. Starters spring boot estructura estándar proyecto.mp4;1Lo2hWLH0G0JsmRiwob4rByxxoRP2497v;video/mp4
3;Estrategia monorepo con maven para la gestión del repositorio de código;2. Starters spring boot estructura estándar proyecto.srt;15AZ0d41fzGgIKMOgH2gyN70KoAnaJN_m;script (srt)
3;Estrategia monorepo con maven para la gestión del repositorio de código;2.1 billing.zip;1MhS9NtpnxW450rqbw7MX0i7OU5oR5wPC;application/zip
3;Estrategia monorepo con maven para la gestión del repositorio de código;2.2 Listado de Starters de spring boot.html;1DqdFHFZYyXg--9yOFb5KH9lppTfKZXww;text/html
3;Estrategia monorepo con maven para la gestión del repositorio de código;3. Configurar puertos jecutar multiples microservicios.mp4;1ODlwikGPTr8Xu1QoM2wdw2E074V8MTbx;video/mp4
3;Estrategia monorepo con maven para la gestión del repositorio de código;3. Configurar puertos jecutar multiples microservicios.srt;12DSsWSUOgRb7JteOMWIo800J1XphqbuZ;script (srt)
3;Estrategia monorepo con maven para la gestión del repositorio de código;4. Crear módulos repositorio código projectos tipo POM.mp4;13N15LbMpcmSYPBaggTdJqsLQBSmGorCn;video/mp4
3;Estrategia monorepo con maven para la gestión del repositorio de código;4. Crear módulos repositorio código projectos tipo POM.srt;12-2daXBFBp8mIu8jNuAF9ifN024v9hTt;script (srt)
3;Estrategia monorepo con maven para la gestión del repositorio de código;5. Definir dependecias.mp4;1drjfLy3Bgzo2QcGD60m-5JpFTFxFQCT9;video/mp4
3;Estrategia monorepo con maven para la gestión del repositorio de código;5. Definir dependecias.srt;1_ecV4tm98CMdsl0K2QImCj7-Nlv7t8hZ;script (srt)
3;Estrategia monorepo con maven para la gestión del repositorio de código;5.1 pom.xml;12ArA-02DUHYBbG_r8gAFN2druv9PpLRL;text/xml
3;Estrategia monorepo con maven para la gestión del repositorio de código;5.2 Proyecto maven de apache.html;1SvAPJW0KOxG4h19p_UmE5TmeM7Rm70Xn;text/html
3;Estrategia monorepo con maven para la gestión del repositorio de código;6. Refactorizar módulos business infraestructura.mp4;1-9cUbgHCXnno3sJcMCn-UQ1tVh-l6ATO;video/mp4
3;Estrategia monorepo con maven para la gestión del repositorio de código;6. Refactorizar módulos business infraestructura.srt;1zMsme7dH8z4MApz08npFZ8YxzeX5C6tj;script (srt)
3;Estrategia monorepo con maven para la gestión del repositorio de código;6.1 monorepo_paymentchainparent.zip;1q_u83aOiIY2pCwgCeysxFPZjvIYzMs_n;application/zip
3;Estrategia monorepo con maven para la gestión del repositorio de código;7. Heredar configuración POM xml padre microservicio.srt;1FSuwkVbaS9zyMgQikZW7V1Ty5gQi6K6h;script (srt)
3;Estrategia monorepo con maven para la gestión del repositorio de código;7. Heredar configuración POM.xml padre microservicio.mp4;1HMwBh5e07fG9RCRWBZD7h913gBbHTo2U;video/mp4
3;Estrategia monorepo con maven para la gestión del repositorio de código;8. Validar conceptos mas relevantes adquiridos hasta.html;1BlQ1PJc8OiBk-dArBO3Dhxz58vNUQMzn;text/html
4;Comunicando multiples microservicios del dominio del negocio con Webclient;1. caso estudio comunicación microservicios.mp4;1XkeOTjPeUtJRQ9tCED80NvqOPu_hYZs6;video/mp4
4;Comunicando multiples microservicios del dominio del negocio con Webclient;1. caso estudio comunicación microservicios.srt;1AFHEpt89XGq8Tubub-Pf84D-VjECobKa;script (srt)
4;Comunicando multiples microservicios del dominio del negocio con Webclient;10. Probar comunicación Customer Product.mp4;1DLY4AOLxEt4y1vr2D_DEzdx89S3Hx5v6;video/mp4
4;Comunicando multiples microservicios del dominio del negocio con Webclient;10. Probar comunicación Customer Product.srt;1Reo2ukto2nJ8G8V4uT9rse2MbUH4tIN6;script (srt)
4;Comunicando multiples microservicios del dominio del negocio con Webclient;10.1 paymentchainparent_customer_product_webclient.zip;1iUI8p2JHHIP0RCSpX7i1KADf1BUTDtRV;application/zip
4;Comunicando multiples microservicios del dominio del negocio con Webclient;11. Crear microservicio transacciones agregarlo al.html;1vV9fjWKfP8GvpFVhFv0xrE_47J9iao7U;text/html
4;Comunicando multiples microservicios del dominio del negocio con Webclient;11. Revisar comentar microservicio transacciones.mp4;1f-zJNh9PNMOhCQqXuJmqOk6O7gfGd22B;video/mp4
4;Comunicando multiples microservicios del dominio del negocio con Webclient;11. Revisar comentar microservicio transacciones.srt;1uibGuzMDh3F1wJg8ne0fbhTa_Z8KvI6m;script (srt)
4;Comunicando multiples microservicios del dominio del negocio con Webclient;12. Prueba funcional E2E comunicación customer producto.mp4;1OttEPQaZ2ZLzYLN6X7dwuas4xDumR0Rf;video/mp4
4;Comunicando multiples microservicios del dominio del negocio con Webclient;12. Prueba funcional E2E comunicación customer producto.srt;18ooEUJipAHVaY1vCPLOCNA5rh-05BpTh;script (srt)
4;Comunicando multiples microservicios del dominio del negocio con Webclient;12.1 paymentchainparent_businessdomain_Full_Module.zip;1WlfAEPmjJIPoW04SRdbkozQ7ir8iGui2;application/zip
4;Comunicando multiples microservicios del dominio del negocio con Webclient;13.1 ImputSchemasForTestApis.md;1kd7jH9lngpuTj5xfkMBJZoD4cN0jeHCl;text/markdown
4;Comunicando multiples microservicios del dominio del negocio con Webclient;2. Crear microservicio catálogo productos agregarlo al.mp4;1wCqdhM6ArhuxjuCaSMUGxliMPoGH3_D0;video/mp4
4;Comunicando multiples microservicios del dominio del negocio con Webclient;2. Crear microservicio catálogo productos agregarlo al.srt;1tTGAfJAhtqd4nuMRuE7mfEwNrxldw1Yl;script (srt)
4;Comunicando multiples microservicios del dominio del negocio con Webclient;3. Crear relación cliente muchos productos JPA.mp4;1EkB9EPihBIwJO7Mrz9vpmMypDlngakyI;video/mp4
4;Comunicando multiples microservicios del dominio del negocio con Webclient;3. Crear relación cliente muchos productos JPA.srt;10A26ZhHwuJj0BfVOBj1caZYW4IMmK_rh;script (srt)
4;Comunicando multiples microservicios del dominio del negocio con Webclient;3.1 Api persistencia Java JPA , relaciones entidades.html;1mXBhaUESGps4e7TpKSkrmlngS875Rr5Z;text/html
4;Comunicando multiples microservicios del dominio del negocio con Webclient;3.2 Spring Data JPA.html;1eSYBdLj4gETVFl4xbAAsgmcSpR7zHFSZ;text/html
4;Comunicando multiples microservicios del dominio del negocio con Webclient;4. Revisión final refactorización prueba funcional.mp4;1CGf44ZXLm-JF-pCm8aynTUXezv7zCiVr;video/mp4
4;Comunicando multiples microservicios del dominio del negocio con Webclient;4. Revisión final refactorización prueba funcional.srt;13na7YyMG2whoYZqlDhWfgVAd97FMvxPJ;script (srt)
4;Comunicando multiples microservicios del dominio del negocio con Webclient;4.1 paymentchainparent_customer_product_jpa.zip;1OmxWREsdgdlLkq8ztaSLLOI4rXbt5XvH;application/zip
4;Comunicando multiples microservicios del dominio del negocio con Webclient;5. Modificar método guardar customer persistir productos.mp4;137ghuQ_tC4QtGca65R-rtE_-4VVoC-os;video/mp4
4;Comunicando multiples microservicios del dominio del negocio con Webclient;5. Modificar método guardar customer persistir productos.srt;1uzKz_2MzRVAj2H6o59wFfHcoNcu4LQQ-;script (srt)
4;Comunicando multiples microservicios del dominio del negocio con Webclient;6. comparten datos se comunican microservicios.mp4;1DSlXGF2eZcNBFWv-cUjkAySsaIN342sr;video/mp4
4;Comunicando multiples microservicios del dominio del negocio con Webclient;6. comparten datos se comunican microservicios.srt;1Ro5UdFh--a5_C51UVVCLNek9ZoiH71TL;script (srt)
4;Comunicando multiples microservicios del dominio del negocio con Webclient;6.1 Arquitectura Detallada Microservicios.png;1lvbKlgkvlemsGxAzCD4MqKYdBG42zzZ8;image/png
4;Comunicando multiples microservicios del dominio del negocio con Webclient;7. Configuración cliente reactivo Webclien cliente REST.mp4;1Z0FeftRX3x91qysoi1-xeE4JCv5o1S5I;video/mp4
4;Comunicando multiples microservicios del dominio del negocio con Webclient;7. Configuración cliente reactivo Webclien cliente REST.srt;18RWzkhoez6b7uuf1OYEm-NvIKsUnPaZa;script (srt)
4;Comunicando multiples microservicios del dominio del negocio con Webclient;7.1 Propiedades de configuracion del webclient builder.html;1lDpRogiHXBzUSOaco4WHiU3XLqAskbZN;text/html
4;Comunicando multiples microservicios del dominio del negocio con Webclient;8. Consumir API REST.mp4;1mHudye845rXkSu2BOZ7IsTgFwPrGp4Wn;video/mp4
4;Comunicando multiples microservicios del dominio del negocio con Webclient;8. Consumir API REST.srt;1-glZAqgtnzU11Mhambpl6GS9y0i1xctS;script (srt)
4;Comunicando multiples microservicios del dominio del negocio con Webclient;9. Crear método API customer consultar cliente sus.mp4;1DoYwpcnjxQckIT1vlDosuYCRZX51aVr5;video/mp4
4;Comunicando multiples microservicios del dominio del negocio con Webclient;9. Crear método API customer consultar cliente sus.srt;1JScigqfOUNLyw2N64STwzwQvnbuLGW9b;script (srt)
5;Infraestructura Netflix Eureka  y spring config (spring cloud);1. microservicios van mas allá desarrollo, spring cloud.mp4;1ZMpaZElAqyo1GR5u2NnGz_k25fzl5U1w;video/mp4
5;Infraestructura Netflix Eureka  y spring config (spring cloud);1. microservicios van mas allá desarrollo, spring cloud.srt;1a0Ac1MI-hb3DGKc-zwrORQjM8jdOImCf;script (srt)
5;Infraestructura Netflix Eureka  y spring config (spring cloud);10. Cambiar perfiles propiedades sin recopilar.mp4;16f5cOaXqH__Jttpb2aT_Ca8jsRgH-0SX;video/mp4
5;Infraestructura Netflix Eureka  y spring config (spring cloud);10. Cambiar perfiles propiedades sin recopilar.srt;1ZKDC03mUt22ABaWMYqDamXh4ytTx5Fhj;script (srt)
5;Infraestructura Netflix Eureka  y spring config (spring cloud);11. Registro discovery eureka.mp4;1U35cCFrU3MemmwVSJV-D_ULiqrb9Q5z4;video/mp4
5;Infraestructura Netflix Eureka  y spring config (spring cloud);11. Registro discovery eureka.srt;1HTRV1CM1bXZg4maZk8o-d7_yAAcywUrr;script (srt)
5;Infraestructura Netflix Eureka  y spring config (spring cloud);12. Crear configurar servidor registro discovery eureka.mp4;1qaVQFWTvGIteQiAzy5jTBQPomV1NPTWe;video/mp4
