Seccion;Nombre Seccion;Nombre_Archivo;ID_Archivo_Drive;Tipo Archivo
1;Sección 1;1. Introducción.mp4;18VUuceytfaGMGRtamA9SBZs2j0niz6In;video/mp4
1;Sección 1;1. Introducción.srt;13g1aeTPJpbg9F0SrUmRfi9NAwbD3BsuU;application/octet-stream
1;Sección 1;2. ¿Cómo funciona el curso.mp4;1o_0h_WtVmGy0reLuKjvY248V4oEJtS7Q;video/mp4
1;Sección 1;2. ¿Cómo funciona el curso.srt;122BScTkg_OpF5RCRA-7yDCeDmRFxMTnL;application/octet-stream
1;Sección 1;3. Instalaciones recomendadas.mp4;1QEcs7zKNu4e6NePqErZbS_NvVamJkoBY;video/mp4
1;Sección 1;3. Instalaciones recomendadas.srt;16Pdwaqs81KtEeIVnthSTk_fCDINEP6lA;application/octet-stream
1;Sección 1;3.1 Gist - Instalaciones recomendadas.html;12oDvbv-9fo2RqxCACBQyPPopvw-ypyF6;text/html
1;Sección 1;4. Hoja de atajos - Recomendaciones.mp4;1py-mc1HRJZjOsPqqjHkJah4-TVlEWzNt;video/mp4
1;Sección 1;4. Hoja de atajos - Recomendaciones.srt;1f7oMSuO_5Foo5z7kqz_BflPox5auX9tz;application/octet-stream
1;Sección 1;5. ¡Únete a Nuestra Comunidad de DevTalles en Discord!.html;1uyX7vGGud2cqpCc5_Rv5h8sD4VV-PyXc;text/html
2;Sección 2;1. Introducción.mp4;1IpigYVAVxh_6YJSafbWfvNZ5uzdgUnuY;video/mp4
2;Sección 2;1. Introducción.srt;1Co8EA3poHOH3a_XhYLWTSN-yDf-c6ju6;application/octet-stream
2;Sección 2;2. ¿Qué es TypeScript ¿Por qué Angular lo usa.mp4;1B3u3Q1pT2AzpMIq02RTWRaoeIPda_x3k;video/mp4
2;Sección 2;2. ¿Qué es TypeScript ¿Por qué Angular lo usa.srt;1i2u-l-LUh0fKtmZoGxLa7NMwO4bKaGso;application/octet-stream
2;Sección 2;3. 10 Mitos y realidades de Angular.mp4;1yuCNR5M-ShWQBvpwjaclAQ8M75hq8Uo3;video/mp4
2;Sección 2;3. 10 Mitos y realidades de Angular.srt;1wnjn1JpCxQhF8ZlGnpauWMOqMDH7tt7P;application/octet-stream
3;Sección 3;01. Introducción.mp4;1g1SGBAJt5YdEBoXQhMTbzsFWPW9ioKT3;video/mp4
3;Sección 3;01. Introducción.srt;11cKKJuUktUo2fu_xrEYeLf3xY_y1xlh-;application/octet-stream
3;Sección 3;02. Temas puntuales.html;1vVh2sQrNNXiCu4Tdhin1ziTzTthzOhzR;text/html
